plate	column	row	Gene
0	10	7	AKAP5
0	10	8	CDC42BPB
0	10	9	AKAP6
0	10	10	CDC7
0	10	11	AKAP7
0	10	12	CDK10
0	10	13	AKAP8
0	10	14	CDC2L6
0	10	15	AKT1
0	10	16	CDK2
0	10	17	AKT2
0	10	18	CDK3
0	10	19	AKT3
0	10	20	CDK4
0	11	0	NA
0	11	1	DUSP22|LOC100134371|LOC100134291
0	11	2	GMFB
0	11	3	DUSP4
0	11	4	GMFG
0	11	5	DUSP5
0	11	6	GNE
0	11	7	DUSP6
0	11	8	GRK4
0	11	9	DUSP7
0	11	10	GRK5
0	11	11	DUSP8|LOC728725|LOC441554|LOC441554|LOC728657|LOC728813|LOC728813
0	11	12	GRK6
0	11	13	DYRK1A|LOC100130030
0	11	14	GRK7
0	11	15	DYRK1B
0	11	16	GSG2
0	11	17	DYRK2
0	11	18	GSK3A
0	11	19	DYRK3
0	11	20	GSK3B
0	12	0	NA
0	12	1	ALK
0	12	2	CDK5
0	12	3	ACVR1C
0	12	4	CDK5R1
0	12	5	ALS2CR2
0	12	6	CDK5R2
0	12	7	PFTK2
0	12	8	CDK5RAP1
0	12	9	AMHR2
0	12	10	CDK5RAP3
0	12	11	ANGPT4
0	12	12	CDK6
0	12	13	ANKK1
0	12	14	CDK7
0	12	15	RIPK4
0	12	16	CDK8
0	12	17	SPEG
0	12	18	CDK9
0	12	19	APPL1|ASB14
0	12	20	CDKL1
0	13	0	NA
0	13	1	DYRK4
0	13	2	GTF2H1
0	13	3	EDN2
0	13	4	GUCY2C|LOC100131547
0	13	5	EEF2K
0	13	6	GUCY2D
0	13	7	EGFR
0	13	8	GUCY2F
0	13	9	EIF2AK3
0	13	10	GUK1
0	13	11	EIF2AK4
0	13	12	HSPB8
0	13	13	ETNK1
0	13	14	ALPK2
0	13	15	RAPGEF3
0	13	16	HCK
0	13	17	EPHA1
0	13	18	HIPK1
0	13	19	EPHA2
0	13	20	HIPK2
0	14	0	NA
0	14	1	ARAF
0	14	2	CDKL2
0	14	3	NUAK1
0	14	4	CDKL3
0	14	5	DBF4|LOC100129267
0	14	6	CDKL5
0	14	7	ROPN1L
0	14	8	CDKN1A
0	14	9	ATM|LOC651610
0	14	10	CDKN1B
0	14	11	ATR|LOC651921|LOC648152
0	14	12	CDKN1C
0	14	13	AURKB
0	14	14	CDKN2B
0	14	15	AURKC
0	14	16	CDKN2C
0	14	17	AVPR1A
0	14	18	CDKN2D
0	14	19	AVPR1B
0	14	20	CDKN3
0	15	0	NA
0	15	1	EPHA3
0	15	2	HIPK3
0	15	3	EPHA4
0	15	4	HIPK4
0	15	5	EPHA5
0	15	6	HK1
0	15	7	EPHA7
0	15	8	HK2|LOC642546
0	15	9	EPHA8
0	15	10	HK3
0	15	11	EPHB1
0	15	12	EIF2AK1
0	15	13	EPHB2
0	15	14	STK32B
0	15	15	EPHB3
0	15	16	CDC42BPG
0	15	17	EPHB4
0	15	18	HUNK
0	15	19	EPHB6
0	15	20	ITGB1BP1
1	0	0	NA
1	0	1	ICK
1	0	2	MAP3K4
1	0	3	IGF1R
1	0	4	MAP3K5
1	0	5	IHPK1
1	0	6	MAP3K6
1	0	7	IHPK2
1	0	8	MAP3K7
1	0	9	IHPK3
1	0	10	MAP3K8
1	0	11	IKBKAP
1	0	12	MAP3K9
1	0	13	IKBKB
1	0	14	MAP4K1
1	0	15	IKBKE
1	0	16	MAP4K2
1	0	17	IL2
1	0	18	MAP4K3
1	0	19	ILK
1	0	20	MAP4K4
1	1	0	NA
1	1	1	NEK9
1	1	2	PIP4K2B
1	1	3	NLK
1	1	4	PIP4K2C
1	1	5	NME1|NME1-NME2
1	1	6	PITPNM3
1	1	7	NME1-NME2|NME2|NME2P1
1	1	8	STK32C
1	1	9	NME3
1	1	10	PKIA
1	1	11	NME4
1	1	12	PKIB
1	1	13	NME5
1	1	14	PKLR
1	1	15	NME6
1	1	16	LOC652797|PKM2
1	1	17	NME7
1	1	18	PKMYT1
1	1	19	NPR1
1	1	20	PKN3
1	2	0	NA
1	2	1	ILKAP
1	2	2	MAP4K5
1	2	3	IPMK|LOC401730|LOC401730|LOC401730
1	2	4	MAPK1
1	2	5	INSR
1	2	6	MAPK10
1	2	7	INSRR
1	2	8	MAPK11
1	2	9	IRAK1
1	2	10	MAPK12
1	2	11	IRAK2
1	2	12	MAPK13
1	2	13	IRAK3
1	2	14	MAPK14
1	2	15	IRS1
1	2	16	MAPK3
1	2	17	ITK
1	2	18	MAPK4
1	2	19	ITPK1
1	2	20	MAPK6
1	3	0	NA
1	3	1	NPR2
1	3	2	PLK1
1	3	3	NRBP1
1	3	4	EXOSC10
1	3	5	NRG3
1	3	6	PMVK
1	3	7	NTRK1
1	3	8	PNKP
1	3	9	NTRK2
1	3	10	PPP1R1B
1	3	11	NTRK3
1	3	12	PPP2CA
1	3	13	TPD52L3
1	3	14	PPP2CB
1	3	15	OXSR1
1	3	16	PPP4C
1	3	17	P15RS
1	3	18	PRKAA1
1	3	19	SCYL3
1	3	20	PRKAA2
1	4	0	NA
1	4	1	ITPKA
1	4	2	MAPK7
1	4	3	ITPKB
1	4	4	MAPK8
1	4	5	ITPKC
1	4	6	MAPK8IP1|LOC644253|LOC644172
1	4	7	JAK1
1	4	8	MAPK8IP2
1	4	9	JAK2
1	4	10	MAPK8IP3
1	4	11	JAK3
1	4	12	MAPK9
1	4	13	TAOK3
1	4	14	MAPKAPK2
1	4	15	KDR
1	4	16	MAPKAPK3
1	4	17	KHK
1	4	18	MAPKAPK5
1	4	19	TNIK
1	4	20	MARK1
1	5	0	NA
1	5	1	PACSIN1
1	5	2	PRKACA
1	5	3	PAG1
1	5	4	PRKACB
1	5	5	PAK1
1	5	6	PRKACG
1	5	7	PAK2
1	5	8	PRKAG1
1	5	9	PAK3
1	5	10	PRKAG3
1	5	11	PAK4
1	5	12	PRKAR1A
1	5	13	PAK6
1	5	14	PRKAR2A
1	5	15	PAK7
1	5	16	PRKAR2B
1	5	17	PANK1
1	5	18	PRKCA
1	5	19	PANK3|LOC646801|LOC646801|LOC646801
1	5	20	PICK1
1	6	0	NA
1	6	1	MAST3
1	6	2	MARK2
1	6	3	KIAA0999
1	6	4	MARK3
1	6	5	TAOK1
1	6	6	MARK4
1	6	7	MARCH4
